songID,songName,songLength,userID,following,connectionDate,userID,username,fName,lName,cardInfo,billingAddress,SearchResult_spotifySearch,birthday,PlaylistID,userPlaylist,sugPlaylist,,SpotifyAlgorithm_SpotifyAlgorithmID,User_userID,User_SearchResult_spotifySearch,pictureID,picSize,resolution,dateUploaded,artistID,artist_fName,artist_lName,albumID,albumName,numSongs,playTime,genreID,genreName
1,ROCKSTAR,3:10,1,2,6/23/2020,1,Toby Chapeau,Toby,Chapeau,3465-1825-9817-4134,150 Oak Terrace,2,36048,1,carride,Morning Commute,,3,1,3,1,1200x800,72dpi,44007,1,DaBaby,,1,BLAME IT ON BABY,11,0:45:35,1,Pop
2,Nobody's Love,4:12,2,1,6/24/2020,2,Saracatherine Agee,Saracatherine,Agee,5459-1576-9277-0418,645 Maple Street,3,36180,2,songs to scream,Dance Classics,,2,2,2,2,800x600,72dpi,44011,2,Maroon,5,2,Nobody's Love,1,0:03:34,2,Rap
3,Watermelon Sugar,3:54,3,3,6/24/2020,3,Carson Walker,Carson,Walker,5577-5972-8477-4962,780 Willow Road,4,36834,3,shower thoughts,Just Good Music,,1,3,1,3,640x480,72dpi,44010,3,Harry ,Styles,3,Fine Line,12,1:00:23,3,Hip-Hop
4,cardigan,4:10,4,5,6/25/2020,4,Lexi Sells,Lexi,Sells,5155-4553-1792-0313,824 Highland Ave,5,36314,4,perfect 100,Wild + Free,,4,4,6,4,640x480,72dpi,44011,4,Taylor,Swift,4,folklore,12,1:03:23,4,R&B
5,Savage Love,3:02,5,7,6/25/2020,5,Tripp Faircloth,Tripp,Faircloth,5597-1615-3931-6560,193 Folk Street,1,36278,5,the best guitar song,Warm Fuzzy Feeling,,6,5,5,5,800x600,72dpi,44008,5,Jason,Derulo,5,Savage Love,1,3:32,5,K-pop
6,Wishing Well,3:23,6,8,6/23/2020,6,Ransome Smith,Ransome,Smith,5148-3390-8572-8552,738 Magnolia Ave,4,36599,6,everyday,Sunny Day,,5,6,4,6,800x600,72dpi,44007,6,Juice,WRLD,6,Legends Never Die,13,1:01:43,6,Alternative
7,WHATS POPPIN,3:35,7,4,6/24/2020,7,Autumn Sturhahn,Autumn,Sturhahn,5334-2098-5053-7526,866 Pine Terrace,5,36007,7,in the feels,Accoustic Love,,7,7,9,7,1200x800,72dpi,44007,7,Jack,Harlow,7,WHATS POPPIN,1,0:03:33,7,Electronic
8,Breaking Me,3:45,8,9,6/23/2020,8,David Thrower,David,Thrower,5130-2754-2203-3258,939 Wood Lawn Road,7,36655,8,school is hard,Sad Bops,,8,8,7,8,1200x800,72dpi,44008,8,Topic,,8,Breaking Me,8,0:45:23,8,Country
9,UN DIA,4:32,9,10,6/25/2020,9,Stewart Hanks,Stewart,Hanks,5470-3046-7062-1354,121 Evergreen Place,8,36449,9,for my dawgs,Good Vibes,,9,9,10,9,800x600,72dpi,44011,9,J,Balvin,9,UN DIA (ONE DAY),1,3:23,9,Latino
10,Break My Heart,3:34,10,6,6/23/2020,10,Callie Bard,Callie,Bard,5338-6873-5807-6194,337 Pecan Road,9,36671,10,windows down,Confidence Boost,,10,10,8,10,640x480,72dpi,44010,10,Dua,Liipa,10,Future Nostalgia,11,0:56:34,10,Metal
